cfd_hardware	gravity_key	gravity_g	scale	g_bl_mol_m2_s	delta_mm	sherwood	dC_CO2_mean_bl	o2_excess_ppm_bl	u_max	Ra_H2O	dC_H2O_mean	dC_H2O_peak	dC_CO2_mean	dC_CO2_peak	dC_O2_mean	dC_O2_peak	surf_dC_H2O_hw	surf_dC_CO2_hw	dishmean_CO2_hw	carbon_12h_pct_earth	A_start_umol_m2_s	A_end_umol_m2_s	net_assimilation_pct	co2_drawdown_mean_ppm	co2_drawdown_peak_ppm	o2_buildup_mean_ppm	enclosure_type	co2_depletion_min	co2_stress_hr	o2_hypoxia_days	earth_equiv_fan_cm_s	has_forced_airflow	fan_cm_s
BRIC	ug	0.0	leaf	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
BRIC	ug	0.0	rosette	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
BRIC	ug	0.0	canopy	0.109	6.13	1.2	-0.445	7.6	0.0	0	0.367	0.505	-0.445	-0.602	0.32	0.437	0.343	0.391	-0.146	1.0	3.82	0.0	97.5	10.6	14.4	7.6	sealed	7.0	9.4	6.5		0	0.0
BRIC	earth	9.81	leaf	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
BRIC	earth	9.81	rosette	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
BRIC	earth	9.81	canopy	0.148	4.51	1.7	-0.327	5.4	0.0698	3500	0.252	0.425	-0.327	-0.539	0.226	0.378	0.252	-0.327	0.0	100.0				7.8	12.9	5.4	sealed					0	0.0
CARA	ug	0.0	leaf	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.232	0.306	-0.086	90.0	3.82	3.47	98.0	7.8	8.9	5.1	semi-permeable				2.8	0	0.0
CARA	ug	0.0	rosette	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.404	0.538	-0.187	90.0	3.82	3.47	96.5	13.2	24.7	8.6	semi-permeable				11.0	0	0.0
CARA	ug	0.0	canopy	0.109	6.13	1.2	-0.445	7.6	0.0	0	0.367	0.505	-0.445	-0.602	0.32	0.437	0.316	0.37	-0.123	90.0	3.82	3.47	97.5	10.6	14.4	7.6	semi-permeable					0	0.0
CARA	earth	9.81	leaf	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	semi-permeable				2.8	0	0.0
CARA	earth	9.81	rosette	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	semi-permeable				11.0	0	0.0
CARA	earth	9.81	canopy	0.148	4.51	1.7	-0.327	5.4	0.0698	3500	0.252	0.425	-0.327	-0.539	0.226	0.378	0.252	-0.327	0.0	100.0				7.8	12.9	5.4	semi-permeable					0	0.0
VEGGIE	ug	0.0	leaf	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.078	0.101		100.0	3.83	3.83	99.3	7.8	8.9	5.1	vented+fan				2.8	1	2.8
VEGGIE	ug	0.0	rosette	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.236	0.322		100.0	3.83	3.83	96.5	13.2	24.7	8.6	vented+fan				11.0	1	2.8
VEGGIE	ug	0.0	canopy	0.109	6.13	1.2	-0.445	7.6	0.0	0	0.367	0.505	-0.445	-0.602	0.32	0.437	0.252	0.314		100.0	3.83	3.83	97.5	10.6	14.4	7.6	vented+fan					1	2.8
VEGGIE	earth	9.81	leaf	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	vented+fan				2.8	0	0.0
VEGGIE	earth	9.81	rosette	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	vented+fan				11.0	0	0.0
VEGGIE	earth	9.81	canopy	0.148	4.51	1.7	-0.327	5.4	0.0698	3500	0.252	0.425	-0.327	-0.539	0.226	0.378	0.252	-0.327	0.0	100.0				7.8	12.9	5.4	vented+fan					0	0.0
