contrast	model	total_tested	sig_up	sig_down
Flight_FLT_vs_GC	factorial	25453	476	264
HW_CARA_vs_BRIC	factorial	25453	2388	7675
HW_VEGGIE_vs_BRIC	factorial	25453	633	5532
Flight_x_HW_CARA_vs_BRIC	factorial	25453	1020	857
Flight_x_HW_VEGGIE_vs_BRIC	factorial	25453	846	1839
Flight_BRIC_FLT_vs_GC	factorial	25453	476	264
Organ_organ_simpleleaf	factorial	25453	211	80
Organ_organ_simpleroot	factorial	25453	9	9
Organ_organ_simpleshoot	factorial	25453	6	9
Organ_organ_simpleundifferentiated.cell.culture	factorial	25453	246	931
Organ_organ_simplewhole_seedling	factorial	25453	318	180
Light_lightdark	factorial	25453	2041	1557
Light_lightred_light	factorial	25453	3265	2002
Light_lightunspecified	factorial	25453	539	1653
Ecotype_ecotype_simpleWS	factorial	25453	911	1046
Ecotype_ecotype_simpleother	factorial	25453	2353	1287
Flight_CARA_FLT_vs_GC	factorial	25453	274	165
Flight_VEGGIE_FLT_vs_GC	factorial	25453	523	1185
FLT_BRIC_vs_VEGGIE	factorial	25453	923	5827
FLT_BRIC_vs_CARA	factorial	25453	2411	7654
FLT_CARA_vs_VEGGIE	factorial	25453	2447	1777
CFDmodel_Flight_FLT_vs_GC	cfd_covariate	25453	438	995
CFD_g_bl	cfd_covariate	25453	1454	2179
CFD_carbon_12h	cfd_covariate	25453	0	0
CFDmodel_Organ_organ_simpleleaf	cfd_covariate	25453	163	23
CFDmodel_Organ_organ_simpleroot	cfd_covariate	25453	10	13
CFDmodel_Organ_organ_simpleshoot	cfd_covariate	25453	5	10
CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	25453	191	598
CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	25453	197	66
CFDmodel_Light_lightdark	cfd_covariate	25453	2325	1333
CFDmodel_Light_lightred_light	cfd_covariate	25453	3882	1830
CFDmodel_Light_lightunspecified	cfd_covariate	25453	935	1785
CFDmodel_Ecotype_ecotype_simpleWS	cfd_covariate	25453	532	1159
CFDmodel_Ecotype_ecotype_simpleother	cfd_covariate	25453	2318	1559
