sample_name	ecotype	organ	flight	light	osd_id	omics_type	full_sample_id	hardware	cfd_hardware	gravity_key	cfd_scale	gravity_g	g_bl_mol_m2_s	delta_mm	sherwood	dC_CO2_mean_bl	o2_excess_ppm_bl	u_max	Ra_H2O	dC_H2O_mean	dC_H2O_peak	dC_CO2_mean	dC_CO2_peak	dC_O2_mean	dC_O2_peak	surf_dC_H2O_hw	surf_dC_CO2_hw	dishmean_CO2_hw	carbon_12h_pct_earth	A_start_umol_m2_s	A_end_umol_m2_s	net_assimilation_pct	co2_drawdown_mean_ppm	co2_drawdown_peak_ppm	o2_buildup_mean_ppm	enclosure_type	co2_depletion_min	co2_stress_hr	o2_hypoxia_days	earth_equiv_fan_cm_s	has_forced_airflow	fan_cm_s
Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1	WS	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2	Ler-0	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3	Cvi-0	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4	WS	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5	Ler-0	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1	WS	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2	Cvi-0	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3	Ler-0	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4	WS	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5	Cvi-0	whole_seedling	FLT	unspecified	OSD-37	RNAseq	OSD-37__Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5	BRIC	BRIC	ug	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
