mirna	contrast	model	n_targets_total	n_targets_tested	n_targets_DE	n_targets_up	n_targets_down	fisher_odds_ratio	fisher_p_value	mean_target_logFC	median_target_logFC	inferred_activity	mirna_family	mirna_function	spaceflight_relevance	target_genes	de_target_genes	fisher_fdr
miR156	Flight_FLT_vs_GC	factorial	8	8	1	1	0	4.7759520587666735	0.21027183912234554	0.4289399864568579	0.392241801864475	DOWN (targets de-repressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT5G50570	1.0
miR159	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	0.06247774762200065	-0.045913490309146196	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	Flight_FLT_vs_GC	factorial	3	3	0	0	0	0.0	1.0	-0.3599332034019837	-0.371723317381966	UP (targets suppressed)	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	-0.4004381158973747	-0.534328293169688	UP (targets suppressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	-0.11558586452817306	-0.08966604195074954	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	-0.11558586452817306	-0.08966604195074954	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	Flight_FLT_vs_GC	factorial	3	3	0	0	0	0.0	1.0	0.3287147545000386	0.17747124400963	DOWN (targets de-repressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	-0.23989085800809926	-0.25820356649501053	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	-0.24157345460695062	-0.16940087772380102	UNCHANGED	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170		1.0
miR172	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	-0.039052949952808454	-0.0519352836521144	UNCHANGED	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560		1.0
