source	target	contrast	inferred_activity	is_DE_target	mean_target_logFC	fisher_fdr	mirna_family	spaceflight_relevance
miR156	AT2G42200	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.831174677447876	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT5G43270	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.831174677447876	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G20980	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.831174677447876	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT2G33810	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.831174677447876	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT3G15270	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.831174677447876	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G53160	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.831174677447876	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT5G50570	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.831174677447876	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G28550	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.831174677447876	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR159	AT1G66370	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.26922101783373	1.0	MYB33/MYB65/GAMYB	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA
miR159	AT2G42200	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.26922101783373	1.0	MYB33/MYB65/GAMYB	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA
miR159	AT5G06100	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.26922101783373	1.0	MYB33/MYB65/GAMYB	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA
miR159	AT3G11400	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.26922101783373	1.0	MYB33/MYB65/GAMYB	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA
miR160	AT2G28350	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-1.6426553118952034	1.0	ARF10/ARF16/ARF17	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism
miR160	AT4G30080	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-1.6426553118952034	1.0	ARF10/ARF16/ARF17	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism
miR160	AT1G77850	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-1.6426553118952034	1.0	ARF10/ARF16/ARF17	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism
miR164	AT1G56010	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-4.655692932024538	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR164	AT5G61430	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-4.655692932024538	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR164	AT5G07680	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-4.655692932024538	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR164	AT3G15170	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-4.655692932024538	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR167	AT1G30330	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.5092985184740564	1.0	ARF6/ARF8	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture
miR167	AT2G33810	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.5092985184740564	1.0	ARF6/ARF8	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture
miR167	AT5G37020	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.5092985184740564	1.0	ARF6/ARF8	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture
miR171	AT2G45160	HW_CARA_vs_BRIC	DOWN (targets de-repressed)	False	0.563465558030305	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT3G60150	HW_CARA_vs_BRIC	DOWN (targets de-repressed)	True	0.563465558030305	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT4G00150	HW_CARA_vs_BRIC	DOWN (targets de-repressed)	True	0.563465558030305	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT1G69170	HW_CARA_vs_BRIC	DOWN (targets de-repressed)	False	0.563465558030305	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
