pathway	cfd_covariate	correlation	p_value	n	fdr
auxin_biosynthesis	g_bl_mol_m2_s	-0.22984665041481767	4.795639887907515e-05	307	5.300444086634621e-05
auxin_biosynthesis	carbon_12h_pct_earth	0.2398766062288047	2.1567164311623117e-05	307	2.481701098871701e-05
auxin_biosynthesis	delta_mm	0.220078295452243	0.0001010199833884401	307	0.0001074136532231515
auxin_signaling	g_bl_mol_m2_s	-0.3717385453453649	1.702445755658258e-11	307	1.5889493719477075e-10
auxin_signaling	carbon_12h_pct_earth	0.22406048604421896	7.485289205347679e-05	307	8.061080682682115e-05
auxin_signaling	delta_mm	0.36122792496494965	6.798211725727496e-11	307	5.710497849611097e-10
auxin_transport	g_bl_mol_m2_s	-0.24863442843928216	1.042952088671148e-05	307	1.2696808035996585e-05
auxin_transport	carbon_12h_pct_earth	0.2727038304059624	1.2289239065774206e-06	307	1.911659410231543e-06
auxin_transport	delta_mm	0.2498591535840305	9.401568959563132e-06	307	1.1613702832401516e-05
auxin_response_genes	g_bl_mol_m2_s	-0.3783311884135562	6.960650514504763e-12	307	7.308683040230002e-11
auxin_response_genes	carbon_12h_pct_earth	0.15748220782737632	0.005686505929765062	307	0.005897117260497102
auxin_response_genes	delta_mm	0.38214144490966173	4.112759714285416e-12	307	4.935311657142499e-11
cytokinin_biosynthesis	g_bl_mol_m2_s	-0.32366094797917244	6.442139078583107e-09	307	2.0813064715422347e-08
cytokinin_biosynthesis	carbon_12h_pct_earth	0.2565842710540271	5.267431168098882e-06	307	6.704003304853123e-06
cytokinin_biosynthesis	delta_mm	0.3060718916564242	4.428914026897675e-08	307	9.539199442548837e-08
cytokinin_signaling	g_bl_mol_m2_s	-0.3300573497793595	3.0968735770980594e-09	307	1.1310320890271173e-08
cytokinin_signaling	carbon_12h_pct_earth	0.2585242464634566	4.443320132057401e-06	307	5.74213678604341e-06
cytokinin_signaling	delta_mm	0.31599741919585544	1.5153567077288423e-08	307	3.857271619673417e-08
ethylene_biosynthesis	g_bl_mol_m2_s	-0.33910530067429406	1.0671753201963219e-09	307	5.273101582146532e-09
ethylene_biosynthesis	carbon_12h_pct_earth	0.2388847144453261	2.337711685060165e-05	307	2.653618669527755e-05
ethylene_biosynthesis	delta_mm	0.3280288426777507	3.9138573283022e-09	307	1.36985006490577e-08
ethylene_signaling	g_bl_mol_m2_s	-0.3246814965280776	5.738124021235273e-09	307	1.9280096711350517e-08
ethylene_signaling	carbon_12h_pct_earth	0.2639021448844416	2.752775235674263e-06	307	3.700511393862947e-06
ethylene_signaling	delta_mm	0.3176421426414536	1.2637628020176083e-08	307	3.538535845649303e-08
aba_biosynthesis	g_bl_mol_m2_s	-0.3522827932884739	2.1239709806512934e-10	307	1.4867796864559053e-09
aba_biosynthesis	carbon_12h_pct_earth	0.24197440408854465	1.8166931093574747e-05	307	2.119475294250387e-05
aba_biosynthesis	delta_mm	0.33847301324500495	1.1509560061188927e-09	307	5.371128028554833e-09
aba_signaling	g_bl_mol_m2_s	-0.3493117527463907	3.076653247396986e-10	307	1.9879913290872833e-09
aba_signaling	carbon_12h_pct_earth	0.2671345072304012	2.0539269723305427e-06	307	2.87549776126276e-06
aba_signaling	delta_mm	0.3348388091427359	1.7712671526604889e-09	307	7.243508913400781e-09
ga_biosynthesis	g_bl_mol_m2_s	-0.27078659128037735	1.4685062748174248e-06	307	2.1641145102572575e-06
ga_biosynthesis	carbon_12h_pct_earth	0.2420246141573358	1.8092140305942695e-05	307	2.119475294250387e-05
ga_biosynthesis	delta_mm	0.2715688999788378	1.3657938738954625e-06	307	2.085939734676706e-06
ga_signaling	g_bl_mol_m2_s	-0.3144822111082271	1.789507035379537e-08	307	4.4211350285847385e-08
ga_signaling	carbon_12h_pct_earth	0.2638112555476752	2.7753835453972102e-06	307	3.700511393862947e-06
ga_signaling	delta_mm	0.3036194074966569	5.737924086081643e-08	307	1.204964058077145e-07
ja_biosynthesis	g_bl_mol_m2_s	-0.3346510876984477	1.8108772283501952e-09	307	7.243508913400781e-09
ja_biosynthesis	carbon_12h_pct_earth	0.25973424565162695	3.993197903994314e-06	307	5.241072248992538e-06
ja_biosynthesis	delta_mm	0.3199969542574016	9.72615754909644e-09	307	2.917847264728932e-08
