organ	flight	auxin_biosynthesis	auxin_signaling	auxin_transport	auxin_response_genes	cytokinin_biosynthesis	cytokinin_signaling	ethylene_biosynthesis	ethylene_signaling	aba_biosynthesis	aba_signaling	ga_biosynthesis	ga_signaling	ja_biosynthesis	ja_signaling	sa_biosynthesis	sa_signaling	photosynthesis_light_reactions	calvin_cycle	starch_metabolism	sucrose_metabolism	glycolysis	trehalose_metabolism	cell_wall_biosynthesis	lignin_biosynthesis	oxidative_stress	heat_shock	dna_damage_response	gravitropism_signaling
hypocotyl	FLT	-0.4212657878720041	-1.2100167832222715	-0.9753816255330697	-0.9920177891309162	-0.8977058024663157	-0.821515731065711	-1.027471674587302	-1.0733862430742656	-1.0391539076739102	-1.230494281363411	-0.6955489646031113	-1.2171918367340118	-1.2175634489279916	-1.2182489657658004	-1.0820089813524743	-1.232951932468447	-1.1472354134155964	-1.0939717309604153	-1.188187161477464	-0.6815602387345417	-1.24974515132592	-0.8974267193184656	-0.9901817288348679	-1.332186776032868	-1.0754209645664596	-1.1213863206337806	-1.2564354789049654	-0.8396831623151022
hypocotyl	GC	-0.41553110588630465	-1.2101802023315396	-0.978694132439033	-0.990567304459886	-0.8977240286865733	-0.8236189035184597	-1.0351222032845973	-1.0715803750455049	-1.0421788769119193	-1.2331624573237798	-0.7015902651339387	-1.2115406143865257	-1.2206194856397075	-1.2261451880530916	-1.0774728135599736	-1.2275958646450091	-1.1471192003213275	-1.0909924166811056	-1.1892136674789662	-0.6814651545856814	-1.2511736516276672	-0.8994696764159237	-0.9916406256943483	-1.330598778857985	-1.0757265044430784	-1.1280185723149714	-1.2562108282050461	-0.8464750346482522
leaf	FLT	0.2892608817320347	0.8532534883647879	0.7096899982731886	0.5537971424482792	0.5930653676331898	0.6085989178369826	0.7119039758241605	0.8203677280855062	0.8362440385300888	0.882254755729002	0.5076007677478698	0.8625078382963494	1.2139135060655062	0.9942044505708727	1.0615171439408728	0.8637044139537104	0.22485711647001588	1.1928585277826047	1.0737910113093947	0.49635501110007013	0.9844861587704253	0.6968263954746572	0.6234777041809693	0.8091502575922783	0.9454550225506791	0.7446811838567543	0.9422547061222138	0.6186091312453994
leaf	GC	0.4695266519748899	0.7927805171684121	0.9710396040876863	0.8309513570950161	0.6504245666242943	0.5723422570269338	0.8453651819149992	0.8093886265404743	0.8653138480800113	0.8384855684095475	0.8125138503087648	0.965969981321945	1.1070854708168119	1.0747829537151314	1.148054183399516	0.8448283147291029	0.06850160997366483	0.9001066818551463	1.0459319150892041	0.6740260302023914	0.981345491248653	0.7162461783556231	0.9100999155516245	1.1183912109373881	0.8268098444737182	0.6092704922110224	0.9781185585912497	0.6614838673328567
root	FLT	-0.06769769203802146	-0.07454418325882955	0.15589536540287982	-0.22386582979571343	-0.06921129740968127	-0.0415819844009545	-0.12768149245911783	0.0022092476928762005	-0.23107090247656	-0.06347033624726478	-0.035542907289141584	-0.04553890088660205	-0.0624517553594312	-0.26296071417409034	-0.09858481600142364	0.1543042601965077	-0.347144685858133	-0.4495573398887872	0.060371225085008355	-0.09673129154620633	0.024941583703250607	-0.16602121899370767	-0.08138218713094982	0.10780135469305775	-0.004580215866523181	-0.2286553567792951	0.026313084920685993	0.01865805200094395
root	GC	-0.039415685539896675	-0.14281031903507294	0.14957653796592438	-0.26304725172711196	-0.05072248555829374	-0.04176824492831107	-0.11908202778727556	-0.014487465710109726	-0.21577798226970785	-0.0921124857988165	-0.04800774794351167	-0.024133732383855615	-0.1870344941366862	-0.27989398632324797	-0.12689878370913882	0.13041209059576203	-0.37580232876984243	-0.5570229651868478	0.022797043096652075	-0.08444605488225262	0.0019248688535026003	-0.1326935424572615	-0.07912925769305271	0.16002846285842526	-0.08217617247699037	-0.3894898794446604	0.052724821898554444	-0.025473113724958925
shoot	FLT	-0.31880542046817195	-1.1001561345098487	-0.783513822618757	-0.8871342388312241	-0.7942492132581308	-0.752967617823465	-0.935899901514427	-1.0086097106997634	-0.9365398786939352	-1.152372653285301	-0.5724826761569218	-1.1157879891707971	-0.9820747672325671	-1.0243058382183783	-0.8858590824865148	-1.1366665738016992	-1.1040159340380449	-0.9425051952165084	-0.9949244028929533	-0.6083961946499563	-1.1379826145271232	-0.885367214136633	-0.8545955326579342	-1.1998640212216523	-1.0252615638958051	-1.4119112071639195	-1.1544226961685615	-0.718683525728603
shoot	GC	-0.3041696507926444	-1.1146479788163408	-0.7743358068291741	-0.8807185941319607	-0.7805956917649304	-0.7414004001071005	-0.9276341845039964	-1.014515418124999	-0.9439955509339691	-1.158984899532602	-0.5607714054368824	-1.0965034521449992	-0.9980353329185796	-1.0624788883234713	-0.886766330305132	-1.1464606912639193	-1.103635619089125	-0.9418862368806595	-0.9895885446695314	-0.6007165806483025	-1.1355686922547492	-0.884042786770767	-0.8538880918705619	-1.1880586714907904	-1.0323933435415236	-1.4575595213180887	-1.1557478644112762	-0.7139942355758347
undifferentiated cell culture	FLT	-0.8416489318893534	-1.3627717514476487	-1.2146177793740245	-1.1834406607876728	-1.1558162076661371	-1.102234482817176	-1.2508819101668203	-1.3489800226169226	-1.3072474753081207	-1.3923979736805097	-1.0318314309670649	-1.4450215879662565	-1.3759705811851852	-1.456962138138348	-1.23493885703609	-1.4859706417083183	-1.1551649719067714	-1.1998679678870108	-1.4239168426325868	-1.0854643239748947	-1.4809033291521105	-1.1556063050344414	-1.2084569778844367	-1.4557577848790366	-1.2757486761854278	-1.3968533810936252	-1.4728594117688563	-1.1157055074429323
undifferentiated cell culture	GC	-0.8194313238375978	-1.3830072872989483	-1.2298841548211	-1.1886130199046503	-1.1475506469135988	-1.096571073802432	-1.2526803354702674	-1.3446135484044082	-1.2923021890077038	-1.3883528625542219	-1.0175033122305672	-1.4556148007830656	-1.3712648738319289	-1.445144839562176	-1.2356011649555667	-1.4729007867261397	-1.1611271669578178	-1.2080548800797521	-1.4383704196474298	-1.058500223869035	-1.4829084647952717	-1.1584486676829922	-1.2123084467844292	-1.4784892657173607	-1.274353524850951	-1.3659663753253428	-1.4878855000291606	-1.1025129083818004
unknown	FLT	0.44130467528094536	0.9475735397229057	0.6947751013085663	0.6536117012688124	0.6254248092624383	0.5534783259115342	0.6856670189809627	0.7299201215641311	0.882992058468524	0.9609497429095771	0.6791090044150815	0.8127259093330493	1.013948141278394	0.9676911041654584	0.9249070203817147	0.8929395586870427	0.24850156391224446	1.045268863337803	0.9719760754653137	0.383720894469284	0.929088526460372	0.7705481390186361	0.5976259092057511	0.7596920471258005	0.9867788341571941	0.6681399505769113	0.9856332905245008	0.6290874154950349
unknown	GC	0.49083260449777993	0.955254543833861	0.8116357571326578	0.884557430965012	0.695184214734419	0.6212810295860866	0.8057766419948891	0.7642382168373189	0.849818682297855	0.9265139753730555	0.774534813976547	1.08204762875976	1.17084981334636	1.0461377848460087	1.0606439247452364	0.8823806909694237	0.3162613635002009	1.1296351422652724	1.0700698514535862	0.44579712249679165	0.9886469241888055	0.7608209676125673	0.82740024030209	1.0066157720141131	0.821018878406389	0.4633463055223941	1.0512368802071184	0.6673582073118366
whole_seedling	FLT	0.08985107005461239	0.34756820845976477	0.1901864683071443	0.39332111864830416	0.22376520764365684	0.22558885455904407	0.2961098033189963	0.2937552739436321	0.2920793196645022	0.31293577372062137	0.16296541382719995	0.3048882018674264	0.28455645891812226	0.3462708073414021	0.21536860437255378	0.2470568665501937	0.6240739561434353	0.42229927789046917	0.27979475526467196	0.2436523763342917	0.3035961156944055	0.24968418098520623	0.29244181888374005	0.2869774265338891	0.26992123440985627	0.5247538095580745	0.28606234988544715	0.20342240074585954
whole_seedling	GC	0.13110774453622484	0.31653409825531154	0.14076416258437346	0.2664187930208	0.2829538167683511	0.24096178554359793	0.3054486317547737	0.26680870387835554	0.3375382053260754	0.3446804782104101	0.13041116709221634	0.3007899507940325	0.2517762504025119	0.3739575250435761	0.23814701175234032	0.28625003377898156	0.530184486702025	0.30197852957277577	0.17877914839021014	0.20719259156785635	0.2784390066546414	0.27984671201022293	0.25121128223678485	0.29283626398622814	0.24083232017086495	0.43800713124429846	0.26932706054012195	0.21374799356965246
